pin,slack
un2_blinker_cry_8:A,
un2_blinker_cry_8:B,17099
un2_blinker_cry_8:C,
un2_blinker_cry_8:D,
un2_blinker_cry_8:FCI,16939
un2_blinker_cry_8:FCO,16939
un2_blinker_cry_8:S,17281
un2_blinker_cry_21:A,
un2_blinker_cry_21:B,17346
un2_blinker_cry_21:C,
un2_blinker_cry_21:D,
un2_blinker_cry_21:FCI,16939
un2_blinker_cry_21:FCO,16939
un2_blinker_cry_21:S,17034
main.un9_blinker_15:A,14278
main.un9_blinker_15:B,14187
main.un9_blinker_15:C,14134
main.un9_blinker_15:D,14042
main.un9_blinker_15:Y,14042
CLK_50M_ibuf_RNIGNF3/U0_RGB1:An,
CLK_50M_ibuf_RNIGNF3/U0_RGB1:ENn,
CLK_50M_ibuf_RNIGNF3/U0_RGB1:YL,
LED1_GREEN_obuf/U0/U_IOOUTFF:A,
LED1_GREEN_obuf/U0/U_IOOUTFF:Y,
blinker[9]:ADn,
blinker[9]:ALn,
blinker[9]:CLK,14087
blinker[9]:D,17262
blinker[9]:EN,
blinker[9]:LAT,
blinker[9]:Q,14087
blinker[9]:SD,
blinker[9]:SLn,
blinker[25]:ADn,
blinker[25]:ALn,
blinker[25]:CLK,14278
blinker[25]:D,16958
blinker[25]:EN,
blinker[25]:LAT,
blinker[25]:Q,14278
blinker[25]:SD,
blinker[25]:SLn,14576
un2_blinker_cry_11:A,
un2_blinker_cry_11:B,17156
un2_blinker_cry_11:C,
un2_blinker_cry_11:D,
un2_blinker_cry_11:FCI,16939
un2_blinker_cry_11:FCO,16939
un2_blinker_cry_11:S,17224
un2_blinker_cry_20:A,
un2_blinker_cry_20:B,17327
un2_blinker_cry_20:C,
un2_blinker_cry_20:D,
un2_blinker_cry_20:FCI,16939
un2_blinker_cry_20:FCO,16939
un2_blinker_cry_20:S,17053
LED1_GREEN_Z:ADn,
LED1_GREEN_Z:ALn,
LED1_GREEN_Z:CLK,
LED1_GREEN_Z:D,18661
LED1_GREEN_Z:EN,
LED1_GREEN_Z:LAT,
LED1_GREEN_Z:Q,
LED1_GREEN_Z:SD,
LED1_GREEN_Z:SLn,
blinker[5]:ADn,
blinker[5]:ALn,
blinker[5]:CLK,15198
blinker[5]:D,17338
blinker[5]:EN,
blinker[5]:LAT,
blinker[5]:Q,15198
blinker[5]:SD,
blinker[5]:SLn,
blinker[19]:ADn,
blinker[19]:ALn,
blinker[19]:CLK,14042
blinker[19]:D,17072
blinker[19]:EN,
blinker[19]:LAT,
blinker[19]:Q,14042
blinker[19]:SD,
blinker[19]:SLn,14576
un2_blinker_cry_10:A,
un2_blinker_cry_10:B,17137
un2_blinker_cry_10:C,
un2_blinker_cry_10:D,
un2_blinker_cry_10:FCI,16939
un2_blinker_cry_10:FCO,16939
un2_blinker_cry_10:S,17243
blinker[21]:ADn,
blinker[21]:ALn,
blinker[21]:CLK,14187
blinker[21]:D,17034
blinker[21]:EN,
blinker[21]:LAT,
blinker[21]:Q,14187
blinker[21]:SD,
blinker[21]:SLn,14576
un2_blinker_cry_3:A,
un2_blinker_cry_3:B,17004
un2_blinker_cry_3:C,
un2_blinker_cry_3:D,
un2_blinker_cry_3:FCI,16939
un2_blinker_cry_3:FCO,16939
un2_blinker_cry_3:S,17376
blinker_RNO[0]:A,17616
blinker_RNO[0]:Y,17616
main.un9_blinker_14:A,15331
main.un9_blinker_14:B,15240
main.un9_blinker_14:C,15187
main.un9_blinker_14:D,15095
main.un9_blinker_14:Y,15095
CLK_50M_ibuf/U0/U_IOINFF:A,
CLK_50M_ibuf/U0/U_IOINFF:Y,
blinker[17]:ADn,
blinker[17]:ALn,
blinker[17]:CLK,15331
blinker[17]:D,17110
blinker[17]:EN,
blinker[17]:LAT,
blinker[17]:Q,15331
blinker[17]:SD,
blinker[17]:SLn,14576
un2_blinker_cry_5:A,
un2_blinker_cry_5:B,17042
un2_blinker_cry_5:C,
un2_blinker_cry_5:D,
un2_blinker_cry_5:FCI,16939
un2_blinker_cry_5:FCO,16939
un2_blinker_cry_5:S,17338
un2_blinker_cry_24:A,
un2_blinker_cry_24:B,17403
un2_blinker_cry_24:C,
un2_blinker_cry_24:D,
un2_blinker_cry_24:FCI,16939
un2_blinker_cry_24:FCO,16939
un2_blinker_cry_24:S,16977
blinker[24]:ADn,
blinker[24]:ALn,
blinker[24]:CLK,14231
blinker[24]:D,16977
blinker[24]:EN,
blinker[24]:LAT,
blinker[24]:Q,14231
blinker[24]:SD,
blinker[24]:SLn,
blinker[10]:ADn,
blinker[10]:ALn,
blinker[10]:CLK,14184
blinker[10]:D,17243
blinker[10]:EN,
blinker[10]:LAT,
blinker[10]:Q,14184
blinker[10]:SD,
blinker[10]:SLn,
blinker[3]:ADn,
blinker[3]:ALn,
blinker[3]:CLK,14983
blinker[3]:D,17376
blinker[3]:EN,
blinker[3]:LAT,
blinker[3]:Q,14983
blinker[3]:SD,
blinker[3]:SLn,
un2_blinker_cry_14:A,
un2_blinker_cry_14:B,17213
un2_blinker_cry_14:C,
un2_blinker_cry_14:D,
un2_blinker_cry_14:FCI,16939
