@W: CG360 :"W:\projects\security-contest\libero\contest\component\Actel\DirectCore\COREJTAGDEBUG\3.1.100\core\corejtagdebug.v":147:8:147:52|Removing wire UJTAG_BYPASS_TDO_0, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\component\Actel\DirectCore\COREJTAGDEBUG\3.1.100\core\corejtagdebug.v":154:8:154:52|Removing wire UJTAG_BYPASS_TDO_1, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\component\Actel\DirectCore\COREJTAGDEBUG\3.1.100\core\corejtagdebug.v":161:8:161:52|Removing wire UJTAG_BYPASS_TDO_2, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\component\Actel\DirectCore\COREJTAGDEBUG\3.1.100\core\corejtagdebug.v":168:8:168:52|Removing wire UJTAG_BYPASS_TDO_3, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":1788:8:1788:52|Removing wire IBusSimplePlugin_iBusRsp_stages_1_inputSample, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":1796:8:1796:52|Removing wire IBusSimplePlugin_iBusRsp_stages_2_inputSample, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":1816:8:1816:71|Removing wire IBusSimplePlugin_decompressor_inputBeforeStage_payload_rsp_error, as there is no assignment to it.
@W: CG360 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":1885:8:1885:46|Removing wire IBusSimplePlugin_rspJoin_fetchRsp_isRvc, as there is no assignment to it.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5579:2:5579:7|Pruning unused register DebugPlugin_firstCycle. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5579:2:5579:7|Pruning unused register DebugPlugin_secondCycle. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register _zz_126_[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register _zz_127_. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register IBusSimplePlugin_injector_formal_rawInDecode[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register memory_to_writeBack_MEMORY_STORE. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register decode_to_execute_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register execute_to_memory_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register memory_to_writeBack_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register decode_to_execute_BYPASSABLE_EXECUTE_STAGE. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register decode_to_execute_BYPASSABLE_MEMORY_STAGE. Make sure that there are no unused intermediate registers.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused register execute_to_memory_BYPASSABLE_MEMORY_STAGE. Make sure that there are no unused intermediate registers.
